Date/Time,Word Count,en,ja,zh
2023.01.05-15.07.40,3456,3456,0,0
2023.01.05-15.25.25,3456,3456,3,0
2023.01.11-17.12.32,9368,9368,3,0
2023.01.11-17.23.06,9063,9063,3,0
2023.01.11-17.33.21,9063,9063,190,0
2023.01.11-17.50.46,9063,9063,661,0
2023.01.11-19.09.08,9063,9063,793,0
2023.01.11-19.20.28,9063,9063,1056,0
2023.01.11-19.20.59,9069,9069,1056,0
2023.01.11-20.04.26,9068,9068,2225,0
2023.01.11-20.24.05,9069,9069,2881,0
2023.01.11-20.26.27,9067,9067,2881,0
2023.01.11-20.28.20,9071,9071,2881,0
2023.01.11-20.43.48,9071,9071,2923,0
2023.01.11-20.44.32,9059,9059,2923,0
2023.01.11-21.51.14,9059,9059,3808,0
2023.01.12-15.56.45,10187,10187,3808,0
2023.01.12-16.34.06,10187,10187,4304,0
2023.01.12-17.50.08,10187,10187,4924,0
2023.01.12-18.30.39,10182,10182,5171,0
2023.01.12-18.50.59,10187,10187,5335,0
2023.01.12-19.48.43,10186,10186,6165,0
2023.01.12-20.52.15,10186,10186,6703,0
2023.01.17-15.25.44,10186,10186,8056,0
2023.01.17-16.20.32,10186,10186,8705,0
2023.01.17-17.42.26,10186,10186,8720,0
2023.01.18-20.33.08,10186,10186,8732,0
2023.01.24-12.18.37,10741,10741,8732,0
2023.01.24-12.33.06,10727,10727,8732,0
2023.01.25-10.07.20,10724,10724,8732,0
2023.01.25-10.12.48,10724,10724,9025,0
2023.01.25-10.20.19,10724,10724,9208,0
2023.01.25-11.28.24,12187,12187,9208,0
2023.01.25-11.34.24,12178,12178,9208,0
2023.01.25-11.35.46,11960,11960,9208,0
2023.01.25-12.29.57,11961,11961,9662,0
2023.01.25-12.49.47,11961,11961,10446,0
2023.01.29-12.21.11,11957,11957,9699,0
2023.01.29-12.23.42,11957,11957,10332,0
2023.01.29-12.41.13,11957,11957,10291,0
2023.01.29-12.47.55,11957,11957,10399,0
2023.01.29-12.48.40,11957,11957,10440,0
2023.01.31-11.43.40,11982,11982,9818,0
2023.01.31-11.53.57,11954,11954,10053,0
2023.01.31-11.58.33,11954,11954,10224,0
2023.01.31-11.59.22,11954,11954,10214,0
2023.01.31-11.59.43,11954,11954,10224,0
2023.01.31-13.30.01,11954,11954,10434,0
2023.02.01-11.58.22,11954,11954,10092,0
2023.02.01-11.58.55,11954,11954,10433,0
2023.02.01-12.00.54,11954,11954,10299,0
2023.02.01-12.17.52,11954,11954,10433,0
2023.02.04-12.31.17,11954,11954,10413,0
2023.02.04-12.31.44,11954,11954,10433,0
2023.04.05-18.16.12,11893,11893,8755,0
2023.04.05-18.21.00,11893,11893,10365,0
2023.04.05-18.25.11,11893,11893,10357,0
2023.04.05-18.25.46,11893,11893,10365,0
2023.04.05-18.46.00,11893,11893,10365,178
2023.04.05-18.47.17,11893,11893,10192,95
2023.04.05-19.34.53,11893,11893,10192,1275
2023.04.05-19.36.39,11893,11893,10175,1263
2023.04.05-19.51.38,11893,11893,10175,1913
2023.04.09-16.34.01,11893,11893,10175,2677
2023.04.09-17.13.46,11903,11903,10067,3668
2023.04.09-17.48.18,11903,11903,10067,6275
2023.04.11-09.36.24,11903,11903,10067,8668
2023.04.11-10.42.41,11903,11903,10067,10327
2023.04.11-11.10.46,11903,11903,10067,10326
2023.04.11-11.19.14,11903,11903,10067,10320
2023.04.12-16.03.54,11903,11903,10067,10378
2023.04.12-18.12.46,11903,11903,10058,10367
2023.04.12-18.14.28,11902,11902,10058,10375
2023.04.12-18.25.56,11902,11902,10375,10375
2023.04.12-18.30.41,11903,11903,10366,10366
2023.04.12-18.31.49,11903,11903,10384,10376
2023.04.12-18.38.10,11906,11906,10331,10323
2023.04.12-18.39.10,11906,11906,10387,10379
2023.04.12-21.14.14,11906,11906,10348,10340
2023.04.12-21.15.25,11906,11906,10387,10340
2023.04.12-21.33.11,11908,11908,10373,10326
2023.04.12-21.36.45,11908,11908,10389,10381
2023.04.12-21.38.47,11908,11908,10373,10365
2023.04.12-21.39.25,11908,11908,10389,10381
